Sector,Sub-sector,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
Industry Sector,Iron and Steel,2577.092,4046.1,657.742,109.3,2.68,2147.733,470.133,8.33,4309,9925.03,22203,1274.635,641,0,16592.517,8.954,10.6,1988.99,0.03,2049.645,5572.308,1652.671,1972.593,1502,710.899,10909,4180
Industry Sector,Chemical and Petrochemical,5074.459,14616,1388.844,337.6,49.578,2984.77,1432.077,127.61,4570,18988.727,51129,477.894,3474,1068.922,13833.124,59.692,827,214.905,53.86,13333.503,9180.434,2439.529,3217.823,1030,654.011,9331,4073
Industry Sector,Non-Ferrous Metals,988.762,1935.3,1088.605,99.9,0,367.124,0,3.15,1961,7980.582,15074,3679,368,498.338,2453.282,5.916,0,0,0.012,2607.367,2284.558,100.89,3119.183,2346,932.097,7110,2785
Industry Sector,Non-Metallic Minerals,2357.143,1999.7,938.049,719.4,184.523,2322.842,863.335,133.12,720,7557.95,12174,1090.501,1452,644.367,8617.805,275.684,260.5,119.775,5.155,1084.433,5561.085,1800.677,2573.035,733,367.337,5904,889
Industry Sector,Transport Equipment,770.546,724.2,113.649,56.4,1.895,2891.201,100.951,58.83,254,5832.708,13909,68.437,1511,30.975,3880.573,36.953,49.6,12.536,19.96,616.678,2969.346,510.649,1815.615,973,217.669,3788,1713
Industry Sector,Machinery,3342.163,1369,936.957,375.3,19.868,4129.004,1363.588,223.84,2199,10792.838,29670,706.334,3041,1024.487,20493.682,86.273,227.2,41.612,110.247,2957.474,4717.792,1107.131,1899.315,1282,1246.384,4758,2998
Industry Sector,Mining and Quarrying,1603.879,422.8,1166.174,31.2,21.001,352.808,80.745,16.64,1479,1502.844,1737,236.757,108,173.601,556.756,19.143,44.4,5.826,1.103,228.779,2764.932,492.892,253.064,60,146.86,2251,3937
Industry Sector,"Food, Beverages and Tobacco",2044.752,5586.6,1259.975,662.9,180.003,1837.878,2439.908,309.87,2025,22104.185,18427,1808.308,2720,1480.018,14325.607,280.905,780.7,76.682,70.205,6686.916,7430.203,2021.433,1856.143,482,279.272,9847,2373
Industry Sector,"Paper, Pulp and Printing",4605.4,1720.9,420.961,328.3,14.009,1996.114,334.504,359.98,15130,6732.886,19233,431.096,882,118.491,8736.721,27.112,187.9,30.948,44.015,2071.282,4916.571,3075.402,492.415,817,659.021,5201,18991
Industry Sector,Wood and Wood Products,1831.716,482.7,258.167,310.8,6.014,577.069,212.213,580,1513,2124.366,4738,99.253,419,228.525,3269.92,884.436,382.7,5.127,0.943,213.543,2442.442,728.964,935.953,185,161.037,1389,1727
Industry Sector,Construction,507.693,926.3,233.168,81.5,9.83,552.657,395.832,84.55,469,3846.826,4953,584.921,518,261.261,1831.614,71.812,146.4,87.219,19.264,1058.373,384.912,525.886,618.533,87,46.973,1924,1334
Industry Sector,Textile and Leather,253.49,833.9,285.765,127.9,4.478,669.169,108.519,59.37,100,1272.268,1752,611.215,204,27.29,4484.291,24.717,132.6,69.249,27.308,434.684,578.231,1049.998,572.001,104,88.461,1831,202
Industry Sector,Not Elsewhere Specified,1290.867,1841.6,708.802,334.8,37.66,2222.151,803.954,163.73,951,7142.123,16090,788.699,2179,931.969,18228.652,82,689.4,276.314,109.969,2102.035,5503.753,560.8,917.989,900,463.382,4642,2277
Transport Sector,Rail,1842.59,1462.6,368.106,223.7,0,1507.873,423.922,11.5,690,6935.421,10692,155.01,1142,48.224,4643.186,62.844,13.4,131.477,0,1492.649,2892.48,413.831,1002.773,418,200.904,2922,2262
Transport Sector,Road,13.531,133.8,36.321,2.8,0,71.105,95.535,14.38,126,424.281,445,19.475,61,40.235,190.402,27.176,40.5,17.221,2.127,673.176,74.459,10.37,41.413,24,2.143,202,495
Transport Sector,Pipeline Transport,187.976,17,10.838,35.5,0,54.425,0,:,0,559.481,0,0,11,0,284.112,4.287,18.8,0,0,0,206.945,5.668,42.053,0,0,186,0
Transport Sector,Not Elsewhere Specified,1049.248,0,0,0,0,10.696,0,42,0,419.214,0,0,0,0,4996.485,0,0,0,0,0,0,0,0,63,6.737,25,0
Commercial and Public Services Sector,,11662.559,20443.4,6992.205,5150.1,1801.064,15363.022,9352.091,2846,16964,126482.656,125353,15612.02,7967,12787.239,75259.249,2618.032,3301,2066.852,971.718,35916.038,47988.063,15038.223,8538.106,6684,3115.472,67233,29227
Household Sector,,18006.174,18597,11356.181,6076.9,1805.835,15972.48,10945.963,1998,22040,161498.532,127032,17486.2,12129,8737.969,66211.648,1751.017,3044.2,939.627,878.469,24644.568,30006.017,13655.992,13619.784,5874,3634.113,73224,42573
Agriculture and Forestry Sector,,1193.817,1877.5,372.943,151.1,162.132,990.789,1806.653,135.16,1401,7905.958,5130,2387.39,1009,544.112,6147.292,183.392,196.3,35.148,14.67,10785.702,1832.849,1013.698,535.607,249,18.382,5136,1061
Fishing Sector,,0,0,9.063,0,3.048,7.607,0,4,0,173.527,73,12.22,15,0,163.253,13.049,2.1,0,2.602,0,14.151,49.274,1.054,0,0,119,0
Other Sectors,,0,59.8,0,0,73.229,0,0,0,0,1157.012,0,0,87,0,0,0.362,0,0,22.921,106.683,0,0,0,0,0,1723,0
