,Country,Coal,Nuclear,Gas,Biofuels,Oil,Hydro,Solar,Geothermal,Wind,Non-renewable waste,Renewable waste
0,Austria,2.747656467,0.0,4.070091494,4.799635611,2.860915683,4.656615261,3.310254336,0.0,3.831967623,3.170264063,2.515480417
1,Belgium,1.911157609,4.536996304,4.455882878,4.459648767,2.078819183,3.118793628,3.708029774,0.0,4.105973185,3.390228362,2.962085081
2,Bulgaria,4.130676565,4.220781638,3.360274486,3.985669916,2.506308811,3.521171832,3.170512829,0.0,3.169419013,0.889413764,0.1775365
3,Croatia,3.084719232,0.0,3.536179532,3.985736253,1.53529412,3.764206031,1.980003372,1.971739591,3.235705159,0.0,0.0
4,Cyprus,0.0,0.0,0.0,2.817750418,3.62864902,0.0,2.470716183,0.0,2.380948915,0.0,0.0
5,Czechia,4.491436638,4.477747345,3.930902799,4.223580767,1.951779361,3.536174857,3.359268823,0.0,2.844528741,2.2735198,2.076924299
6,Denmark,3.485963485,0.0,3.073386547,4.453787446,2.41985831,1.232080842,3.072077764,0.0,4.212991876,3.189237018,2.975356892
7,Estonia,0.0,0.0,2.888960858,3.666245057,3.351565575,1.477121255,2.088277876,0.0,2.926342447,2.173588315,1.872558319
8,Finland,3.387923467,4.367188135,3.663229635,4.688325976,2.303196057,4.20094186,2.339393797,0.0,3.899719301,2.953983786,2.71029511
9,France,3.489446019,5.548798171,4.57023586,5.133188058,3.748878007,4.826166714,4.12705268,2.124500964,4.599794687,3.665852364,3.329944319
10,Germany,5.125767448,4.808764464,5.020970028,5.479630007,3.689042339,4.395780548,4.687002495,2.36361198,5.120909393,4.119057838,3.765519543
11,Greece,3.819872822,0.0,4.283937885,4.257783393,3.67463907,3.536596694,3.648052871,0.0,3.968954532,1.906550519,0.0
12,Hungary,3.569490954,4.20561031,3.964070971,3.87604455,1.653212514,2.387389826,3.390758529,1.204119983,2.8162413,2.683047038,2.222716471
13,Ireland,2.825549442,0.0,4.210469065,4.184823374,2.594787987,3.087858406,1.804684515,0.0,4.062560175,2.776544287,2.513402735
14,Italy,4.126439429,0.0,5.131446282,5.134056812,4.001874706,4.694563566,4.396922638,3.780037199,4.273268877,3.681658864,3.36730205
15,Latvia,0.0,0.0,3.317052215,3.654597632,0.0,3.415481175,0.68547302,0.0,2.247585418,0.0,0.0
16,Lithuania,0.0,0.0,3.229937686,3.588551806,2.090963077,3.033463966,2.109915863,0.0,3.19080776,2.431041945,1.85308953
17,Luxembourg,0.0,0.0,2.264924023,3.363029334,0.0,3.039046697,2.207529349,0.0,2.545474121,2.15502615,1.637699821
18,Malta,0.0,0.0,3.264954699,2.395642605,1.775843368,0.0,2.374449551,0.0,0.0,0.0,0.0
19,Netherlands,3.881123374,3.611443209,4.875885253,4.598268821,3.127148226,1.663380503,3.942760443,0.0,4.185800728,3.572447784,3.341053682
20,Poland,5.030995134,0.0,4.284653802,4.570702607,3.243034822,3.467902172,3.291794055,0.0,4.198658434,2.996695508,2.259579545
21,Portugal,3.373480446,0.0,4.245492014,4.54549715,3.080652097,4.134577227,3.234413506,2.336803831,4.089857901,2.719909409,2.505303311
22,Romania,3.97127339,4.059427239,3.981428609,4.406085159,2.77843779,4.19593799,3.238892529,0.0,3.84170114,0.0,0.0
23,Slovakia,3.270911639,4.188759793,3.591732239,3.94767874,2.610660163,3.689752696,2.821513528,0.0,0.602059991,1.944482672,1.633468456
24,Slovenia,3.639787701,3.802962859,2.763613652,3.788682854,1.021891874,3.718064933,2.566079066,0.0,0.795949499,1.338775125,0.0
25,Spain,3.742096402,4.765661105,4.847362864,5.088876417,4.0295461,4.531798134,4.315277439,0.0,4.751617783,3.321391278,2.846955325
26,Sweden,0.0,4.691947448,2.827369273,5.085675812,2.149219113,4.859978442,3.021602716,0.0,4.439743106,3.489677292,3.216429831
